Displacements
Node, u, v
41 ,3, 74, -402.338415, -656.299404, -301.780379
41 ,4, 73, -416.626827, -445.148359, -108.022595
42 ,1, 42, -409.306461, -544.140114, -557.753662
42 ,2, 43, -461.900397, -338.668738, -466.336690
42 ,3, 75, -227.399156, -484.340891, -481.194097
42 ,4, 74, -283.691049, -264.422522, -383.349464
43 ,1, 43, -93.250735, -296.387811, -425.566832
43 ,2, 44, -164.910556, -323.352220, -366.798833
43 ,3, 76, -11.546572, -288.920629, -413.816575
43 ,4, 75, -88.244900, -317.780944, -350.916512
44 ,1, 44, 120.610801, -260.521073, -202.015059
44 ,2, 45, 83.086551, -352.585901, -158.609588
44 ,3, 77, 133.476275, -299.408348, -220.400645
44 ,4, 76, 93.313639, -397.946389, -173.943272
45 ,1, 45, 167.242908, -192.810197, -3.564319
45 ,2, 46, 167.053060, -294.344615, 44.845281
45 ,3, 78, 147.708667, -268.639283, -36.593924
45 ,4, 77, 147.505470, -377.312735, 15.219425
46 ,1, 46, 91.979341, -21.517092, 106.609324
46 ,2, 47, 120.577996, -126.394272, 185.105867
46 ,3, 79, 56.611347, -149.252351, 62.589543
46 ,4, 78, 87.220815, -261.503600, 146.605293
47 ,1, 47, -20.008274, 151.773349, 97.070056
47 ,2, 48, 13.437724, 71.796986, 212.896326
47 ,3, 80, -56.484032, -23.932272, 57.936870
47 ,4, 79, -20.686397, -109.531891, 181.907055
48 ,1, 48, -89.391849, 245.249265, -6.068752
48 ,2, 49, -75.047676, 215.243141, 135.082131
48 ,3, 81, -122.045686, 39.623810, -24.740621
48 ,4, 80, -106.692953, 7.507912, 126.334787
49 ,1, 49, -75.047676, 215.243141, -135.082131
49 ,2, 50, -89.391849, 245.249265, 6.068752
49 ,3, 82, -106.692953, 7.507912, -126.334787
49 ,4, 81, -122.045686, 39.623810, 24.740621
50 ,1, 50, 13.437724, 71.796986, -212.896326
50 ,2, 51, -20.008274, 151.773349, -97.070056
50 ,3, 83, -20.686397, -109.531891, -181.907055
50 ,4, 82, -56.484032, -23.932272, -57.936870
51 ,1, 51, 120.577996, -126.394272, -185.105867
51 ,2, 52, 91.979341, -21.517092, -106.609324
51 ,3, 84, 87.220815, -261.503600, -146.605293
51 ,4, 83, 56.611347, -149.252351, -62.589543
52 ,1, 52, 167.053060, -294.344615, -44.845281
52 ,2, 53, 167.242908, -192.810197, 3.564319
52 ,3, 85, 147.505470, -377.312735, -15.219425
52 ,4, 84, 147.708667, -268.639283, 36.593924
53 ,1, 53, 83.086551, -352.585901, 158.609588
53 ,2, 54, 120.610801, -260.521073, 202.015059
53 ,3, 86, 93.313639, -397.946389, 173.943272
53 ,4, 85, 133.476275, -299.408348, 220.400645
54 ,1, 54, -164.910556, -323.352220, 366.798833
54 ,2, 55, -93.250735, -296.387811, 425.566832
54 ,3, 87, -88.244900, -317.780944, 350.916512
54 ,4, 86, -11.546572, -288.920629, 413.816575
55 ,1, 55, -461.900397, -338.668738, 466.336690
55 ,2, 56, -409.306461, -544.140114, 557.753662
55 ,3, 88, -283.691049, -264.422522, 383.349464
55 ,4, 87, -227.399156, -484.340891, 481.194097
56 ,1, 56, -693.774529, -505.861046, 179.496890
56 ,2, 57, -680.424759, -703.141045, 360.526236
56 ,3, 89, -416.626827, -445.148359, 108.022595
56 ,4, 88, -402.338415, -656.299404, 301.780379
57 ,1, 57, -680.424759, -703.141045, -360.526236
57 ,2, 58, -693.774529, -505.861046, -179.496890
57 ,3, 90, -402.338415, -656.299404, -301.780379
57 ,4, 89, -416.626827, -445.148359, -108.022595
58 ,1, 58, -409.306461, -544.140114, -557.753662
58 ,2, 59, -461.900397, -338.668738, -466.336690
58 ,3, 91, -227.399156, -484.340891, -481.194097
58 ,4, 90, -283.691049, -264.422522, -383.349464
59 ,1, 59, -93.250735, -296.387811, -425.566832
59 ,2, 60, -164.910556, -323.352220, -366.798833
59 ,3, 92, -11.546572, -288.920629, -413.816575
59 ,4, 91, -88.244900, -317.780944, -350.916512
60 ,1, 60, 120.610801, -260.521073, -202.015059
